url	hash	quality	type	seeds	peers	size	size_bytes	date_uploaded	date_uploaded_unix	movieId
https://yts.mx/torrent/download/DCB731BF8EF7A3F46CDCA7D450999D71DED29434	DCB731BF8EF7A3F46CDCA7D450999D71DED29434	720p	bluray	41	16	999.87 MB	1048439685	2022-11-27 07:31:03	1669530663	47024
https://yts.mx/torrent/download/EABB9435426D85B04A324B6712FE0D6640FBAA70	EABB9435426D85B04A324B6712FE0D6640FBAA70	720p	bluray	104	10	721.66 MB	756715356	2022-11-27 02:55:04	1669514104	47023
https://yts.mx/torrent/download/851A0A5CE71534B2F8FA9C40497148806340BB45	851A0A5CE71534B2F8FA9C40497148806340BB45	720p	bluray	46	15	854.68 MB	896196936	2022-11-27 05:52:27	1669524747	47022
https://yts.mx/torrent/download/2E26B2269332480BA53B8CA77DEA8CFB2EF3C5F1	2E26B2269332480BA53B8CA77DEA8CFB2EF3C5F1	720p	web	19	7	660.06 MB	692123075	2022-11-28 00:10:46	1669590646	47021
https://yts.mx/torrent/download/B1DBAAF2301198AF9E372B46BA22A9C6920E8C17	B1DBAAF2301198AF9E372B46BA22A9C6920E8C17	720p	web	735	343	1.16 GB	1245540516	2022-11-27 10:12:57	1669540377	47020
https://yts.mx/torrent/download/E4B113D0F19A3630316DA894A22BE892A10E4F7D	E4B113D0F19A3630316DA894A22BE892A10E4F7D	720p	web	11	5	1.01 GB	1084479242	2022-11-27 04:02:47	1669518167	47019
https://yts.mx/torrent/download/E97E5846C6824908B2C06B22A6D3980E951B2E33	E97E5846C6824908B2C06B22A6D3980E951B2E33	720p	web	7	3	794.54 MB	833135575	2022-11-27 02:21:12	1669512072	47018
https://yts.mx/torrent/download/BCEE874677A09312F21103DEA4F7726B82201756	BCEE874677A09312F21103DEA4F7726B82201756	720p	web	61	6	949.87 MB	996010885	2022-11-26 22:33:58	1669498438	47017
https://yts.mx/torrent/download/99BBEC6148788A06E99AA4A32886DD661EAFD76F	99BBEC6148788A06E99AA4A32886DD661EAFD76F	720p	web	24	13	999.4 MB	1047946854	2022-11-27 22:31:28	1669584688	47016
https://yts.mx/torrent/download/967318A1C10CA9500955FA6C08B6138BB0A8C65E	967318A1C10CA9500955FA6C08B6138BB0A8C65E	720p	web	10	5	817.57 MB	857284280	2022-11-27 00:20:00	1669504800	47015
https://yts.mx/torrent/download/CC9C123E3520878382100050E00D63C8A4146F86	CC9C123E3520878382100050E00D63C8A4146F86	720p	web	11	4	866.67 MB	908769362	2022-11-27 01:07:27	1669507647	47014
https://yts.mx/torrent/download/48A74B5ADEC73C3AA6714E9265BBEF5DF893AB26	48A74B5ADEC73C3AA6714E9265BBEF5DF893AB26	720p	web	57	9	819.37 MB	859171717	2022-11-27 18:25:39	1669569939	47013
