id,primary_genre
45641,Documentary
45640,Action
45639,Documentary
45638,Drama
45637,Drama
45636,Drama
45635,Thriller
45633,Comedy
45634,Action
45632,Drama
45630,Action
45631,Horror
45629,Adventure
45628,Documentary
45627,Comedy
45626,Documentary
45624,Comedy
45625,Drama
45623,Sci-Fi
45622,Drama
45619,Action
45620,Action
45621,Action
45617,Drama
45618,Comedy
45615,Western
45616,Comedy
45614,Action
45613,Biography
45612,Fantasy
45611,Action
45610,Drama
45609,Action
45608,Crime
45607,Comedy
45606,Action
45605,Comedy
45604,Crime
45603,Drama
45602,Comedy
45601,Horror
45600,Crime
45599,Comedy
45598,Comedy
45597,Comedy
45596,Crime
45595,Adventure
45592,Documentary
45593,Documentary
45594,Documentary
45591,Drama
45590,Documentary
45588,Crime
45589,Comedy
45587,Drama
45585,Biography
45586,Crime
45581,Comedy
45582,Drama
45583,Documentary
45584,Thriller
45580,Documentary
45578,Music
45579,Comedy
45577,Documentary
45576,Drama
45574,Documentary
45573,Drama
45571,Thriller
45572,Comedy
45570,Biography
45569,Comedy
45568,Drama
45567,Comedy
45566,Action
45565,Comedy
45564,Comedy
45563,Action
45562,Action
45561,Action
45560,Mystery
45559,Drama
45558,Action
45556,Action
45557,Action
45554,Action
45555,Action
45553,Horror
45552,Action
45551,Drama
45550,Horror
45549,Horror
45548,Action
45547,Adventure
45546,Horror
45545,Drama
45544,Drama
45541,Drama
45542,Drama
45543,Adventure
45540,Adventure
45539,Drama
45538,Animation
45537,Action
45536,Drama
45535,Comedy
45534,Drama
45532,Drama
45533,Drama
45531,Action
45530,Drama
45529,Comedy
45528,Adventure
45526,Drama
45527,Comedy
45525,Drama
45524,Adventure
45523,Action
45522,Western
45521,Documentary
45520,Family
45519,Documentary
45518,Drama
45517,Action
45516,Comedy
45515,Documentary
45513,Action
45514,Comedy
45512,Action
45510,Documentary
45511,Animation
45509,Documentary
45508,Documentary
45507,Drama
45506,Comedy
45505,Comedy
45504,Comedy
45503,Western
45500,Drama
45501,Romance
45502,Thriller
45499,Biography
45498,Documentary
45497,Action
45496,Drama
45492,Comedy
45493,Musical
45494,Action
45495,Action
45491,Drama
45490,Thriller
45488,Biography
45489,Horror
45487,Comedy
45486,Comedy
45485,Biography
45484,Documentary
45483,Action
45480,Drama
45481,Comedy
45482,Horror
45479,Action
45477,Action
45478,Drama
45476,Adventure
45475,Western
45474,Drama
45473,Thriller
45472,Documentary
45471,Documentary
45469,Documentary
45470,Documentary
45468,Biography
45467,Documentary
45466,Comedy
45465,Action
45464,Drama
45463,Animation
45462,Action
45461,Documentary
45460,Crime
45459,Thriller
45458,Horror
45457,Drama
45455,Adventure
45456,Drama
45454,Adventure
45453,Comedy
45451,Action
45452,Documentary
45450,Drama
45449,History
45448,Drama
45447,Drama
45445,Drama
45443,Drama
45444,Adventure
45442,Comedy
45441,Adventure
45440,Documentary
45439,Documentary
45438,Biography
45437,Action
45435,Drama
45436,Drama
45433,Biography
45434,Adventure
45432,Drama
45431,Action
45428,Romance
45429,Documentary
45430,Documentary
45423,Crime
45424,Crime
45425,Documentary
45426,Comedy
45427,Crime
45422,Drama
45421,Drama
45420,Horror
45419,Drama
45418,Documentary
45417,Documentary
45416,Biography
45415,Drama
45414,Action
45413,Crime
45410,Comedy
45411,Documentary
45412,Drama
45408,Drama
45409,Documentary
45405,Comedy
45406,Comedy
45407,Comedy
45403,Drama
45404,Documentary
45402,Crime
45401,Biography
45400,Action
45399,Crime
45398,Thriller
45397,Comedy
45396,Drama
45395,Action
45394,Drama
45393,Drama
45392,Drama
45391,Adventure
45389,Drama
45390,Drama
45387,Adventure
45388,Documentary
45386,Comedy
45385,Drama
45384,Documentary
45383,Comedy
45382,Adventure
45381,Action
45380,Horror
45379,Comedy
45378,Romance
45377,Documentary
45376,Comedy
45375,Documentary
45374,Action
45373,Drama
45372,Action
45371,Drama
45367,Documentary
45368,Documentary
45369,Drama
45370,Documentary
45366,Horror
45365,Documentary
45363,Drama
45364,Drama
45362,Documentary
45361,Comedy
45359,Drama
45360,Drama
45357,Drama
45358,Comedy
45356,Drama
45355,Action
45354,Sci-Fi
45351,Drama
45352,Drama
45353,Horror
45350,Action
45349,Drama
45348,Adventure
45347,Drama
45346,Drama
45344,Action
45345,Comedy
45342,Action
45343,Documentary
45341,Documentary
45340,Thriller
45339,Comedy
45338,Comedy
45337,Drama
45336,Drama
45335,Drama
45333,Drama
45334,Action
45332,Horror
45331,Drama
45330,Drama
45329,Comedy
45324,Documentary
45325,Action
45326,Documentary
45327,Drama
45328,Drama
45323,Crime
45321,Biography
45322,Drama
45320,Drama
45319,Drama
45318,Action
45317,Action
45316,Action
45315,Drama
45314,Crime
45313,Comedy
45311,Drama
