movieId,genre
46096,Comedy
46096,Music
46096,Romance
46095,Mystery
46095,Sci-Fi
46094,Horror
46094,Thriller
46093,Drama
46092,Drama
46091,Fantasy
46091,Horror
46091,Sci-Fi
46090,Biography
46090,Drama
46090,Thriller
46089,Drama
46089,Horror
46089,Thriller
46088,Drama
46088,Horror
46088,Thriller
46086,Drama
46087,Drama
46087,Horror
46085,Comedy
46084,Adventure
46084,Comedy
46084,Drama
46084,Family
46083,Documentary
46082,Drama
46082,Sport
46081,Crime
46080,Drama
46080,Romance
46080,Thriller
46079,Drama
46078,Action
46078,Sci-Fi
46077,Action
46077,Horror
46076,Comedy
46075,Action
46075,Adventure
46075,Western
46073,Comedy
46073,Drama
46073,Music
46073,Romance
46072,Drama
46071,Drama
46070,Drama
46069,Comedy
46069,Drama
46068,Horror
46068,Mystery
46068,Thriller
46067,Horror
46066,Comedy
46065,Comedy
46065,Family
46065,Fantasy
46065,Romance
46064,Action
46064,Crime
46064,Drama
46064,History
46063,Action
46063,Adventure
46063,Documentary
46063,Fantasy
46062,Crime
46062,Documentary
46061,Drama
46060,Action
46060,Thriller
46059,Action
46059,Comedy
46059,Crime
46058,Crime
46058,Drama
46058,Film-Noir
46058,Thriller
46057,Comedy
46057,Romance
46056,Drama
46056,Thriller
46055,Crime
46055,Drama
46054,Drama
46053,Romance
46052,Comedy
46052,Romance
46051,Action
46051,Romance
46050,Action
46050,Comedy
46050,Romance
46049,Drama
46048,Documentary
46047,Comedy
46047,Drama
46046,Comedy
46045,Crime
46045,Drama
46044,Drama
46043,Drama
46042,Drama
46042,Horror
46042,Thriller
46041,Drama
46040,Documentary
46040,News
46039,Drama
46038,Drama
46037,Comedy
46037,Family
46037,Romance
46036,Drama
46036,History
46036,War
46035,Music
46034,Drama
46034,Thriller
46033,Comedy
46032,Biography
46031,Horror
46031,Mystery
46030,Documentary
46029,Documentary
46029,Sport
46028,Comedy
46027,Drama
46026,Documentary
46025,Action
46025,Adventure
46025,Comedy
46025,Crime
46025,Fantasy
46025,Romance
46025,Western
46024,Action
46024,Horror
46024,Thriller
46023,Comedy
46022,Crime
46022,Drama
46022,Horror
46022,Thriller
46021,Comedy
46021,Crime
46020,Action
46020,Comedy
46019,Documentary
46018,Romance
46017,Comedy
46016,Horror
46015,Thriller
46014,Comedy
46014,Drama
46014,Romance
46013,Drama
46013,Romance
46012,Drama
46011,Drama
46011,Romance
46010,Horror
46009,Horror
46009,Mystery
46009,Thriller
46008,Biography
46008,Comedy
46008,Drama
46006,Crime
46006,Drama
46006,Music
46006,Romance
46005,Action
46005,Drama
46005,Thriller
46004,Crime
46004,Drama
46004,Mystery
46004,Thriller
46003,Drama
46002,Drama
46001,Drama
46001,History
46000,Drama
46000,Romance
45999,Crime
45999,Drama
45999,Thriller
45998,Drama
45997,Action
45997,Adventure
45997,Drama
45996,Drama
45995,Drama
45994,Drama
45993,Comedy
45993,Romance
45992,Documentary
45991,Drama
45991,Romance
45990,Documentary
45990,History
45989,Action
45989,Crime
45989,Mystery
45989,Thriller
45988,Biography
45988,Crime
45988,Drama
45988,History
45987,Horror
45986,Horror
45986,Thriller
45985,Comedy
45985,Documentary
45985,Family
45985,Romance
45984,Music
45984,Romance
45983,Comedy
45983,Romance
45983,Thriller
45982,Drama
45982,Mystery
45982,Thriller
45981,Action
45981,Thriller
45980,Horror
45979,Horror
45979,Thriller
